thithake	ठिठके
kodendera	कोदेनदरा
kilmanjaro	किलमंजारो
mataayen	मताएं
manifecturing	मैनिफेकचरिंग
gubati	गुबाती
almellehan	अलमेल्लेहान
rakshed	रक्षेद
truvet	ट्रूवेट
paryatanaane	पर्यटनाने
telesystems	टेलीसिस्टम्स
patmal	पटमल
maheshgiri	महेशगिरी
vastuyen	वस्तुयें
genetaurinary	जेनेटोरिनरी
aganwadiyon	आगनवाड़ियों
casdon	कैसडन
dichloramine	डाइक्लोरमाइन
cricketshee	क्रिकेटशी
antardrishti	अंतर्दृष्टि
ccctns	सीसीटीएनएस
optimal	ऑप्टिमल
stratolyte	स्ट्रैटोलाइट
volunteers	वालेंटियर्स
kartave	कर्तवे
chillarsathi	चिल्लरसाठी
prabhunathsingh	प्रभुनाथसिंह
centers	सेंटरों
keelaagat	कीलागत
kilogramheroin	किलोग्रामहेरोइन
masthishkiy	मस्तिष्कीय
labam	लबम
grieduckdoon	ग्रीडकडून
rabarta	राबर्टा
rebelo	रेबेलो
bhavnamayi	भावनामयी
mujhebhi	मुझेभी
falmon	फल्मों
aashrayi	आश्रयी
mankel	मंकेल
sweekarel	स्वीकारेल
prakalpagrastas	प्रकल्पग्रस्तास
goenka	गोएन्का
lahrail	लहराइल
stotrapath	स्तोत्रपाठ
kalthoom	कलथूम
luthria	लुथ्रिया
bandobastache	बंदोबस्ताचे
ayonga	आयोंग
kaselav	कासेलाव
johaj	जोहाज
micoworks	माइकोवर्क्स
ganglia	गैंगलिया
biosynth	बायोसिंथ
anagani	अनागणी
gabun	गबोन
basuri	बासुरी
narayanpara	नारायनपारा
gazette	गैज़ेट
varsarkoon	वरसरकून
hayta	हायता
dushya	दुश्य
rompuy	रॉमपाय
malaisia	मलैसिया
kulratan	कुलरतन
raamdarash	रामदरश
breefrig	ब्रीफ्रिग
srimaheshwari	श्रीमहेश्वरी
pindar	पिंडार
parmeswaran	परमेश्वरन
geomap	जियोमैप
rikers	रीकर्स
peblo	पेबलो
masire	मासियर
canthola	कैन्थोला
jillato	जिल्लतो
evalia	इवालिया
ootak	ऊतक
cullins	कलिंस
anthill	एंथिल
cartosat	कोर्टोसेट
mandoora	मंडुरा
saaik	सायिक
pritaj	प्रीताज
palanji	पलंजी
boono	बूनो
begariyon	बेगारियों
saghane	सघने
opikshetra	ओपीक्षेत्र
padaviyaan	पदवियाँ
gatividh	गतिविध
pakshanetepad	पक्षनेतेपद
arqam	अरक़म
namabhasamatra	नामाभासमात्र
nakami	नकामी
kesineni	केसिनानी
confed	कानफेड
naazaaraa	नाज़ारा
smarkahi	स्मारकही
ayaksh	अयक्ष
elizabethan	एलिजाबेथेन
yashi	याशी
gaurhari	गौरहरि
jaljaataa	जलजाता
unaka	उनाका
viraktavastha	विरक्तावस्था
dabishen	दबिशें
sudhaaroon	सुधारूं
rashisya	राशिस्य
gravity	गे्रविटी
dharavahiko	धारावाहिको
divika	दिविका
kakamigahara	काकामिगहरा
udowala	उदोवाला
udaharansvarup	उदाहरणस्वरूप
metrological	मैट्रोलाजिकल
jhunjarwadi	झुंजारवाडी
tavrej	तवरेज
draven	ड्रावेन
lassiyan	लस्सियां
munajim	मुनाजिम
atifaldayak	अतिफलदायक
kahnihindi	काहनीहिन्दी
adhishthaataapadi	अधिष्ठातापदी
ignuran	इग्नुरान
parivaarain	परिवारैं
hirano	हिरानो
devibhagpancham	देवीभागपंचम
arannakulam	अरन्नाकुलम
kamra	कामरा
ravindranayak	रविन्द्रनायक
rebella	रेबेला
unconstrained	अनकोंस्ट्रैंड
bhulli	भुल्ली
amsterdam	एम्स्टर्डैम
kujtiha	कुजतिहा
ayyariyon	अय्यारियों
bherudas	भेरूदास
shailbhavpilu	शैलभावपीलू
suryala	सूर्याला
kalpapadap	कल्पपादप
gupti	गुप्ति
thorston	थॉर्स्टन
fertilization	फ़र्टिलाइज़ेशन
bachpanaki	बचपनकी
prakkalpna	प्राक्कल्पना
skyan	स्क्यान
baghelkhand	बघेलखंड
bewoor	बेवूर
tuirial	ट्युरिअल
rhl	आरएचएल
nirnayakartaon	निर्णयकर्ताओं
nillod	निल्लोड
ripandeep	रिपनदीप
adapodara	अडपोदरा
dargyah	दरग्याह
brated	ब्रेटेड
shauryata	शौर्यता
akutan	अकुतान
shikshanprasarache	शिक्षणप्रसाराचे
sahasamanvayak	सहसमन्वयक
baffinland	बैफिनलैंड
aarambhase	आरम्भसे
saddhatam	सद्धतम
oonkaa	ऊंका
anulgnak	अनुलग्नक
lokbhaav	लोकभाव
susiraj	सुसीराज
aapadiya	आपड़िया
thoren	थोरेन
azemina	अज़ेमिना
bhatkat	भटकट
isse	इससे
ugv	यूजीवी
senchu	सेंचु
mughalsena	मुगलसेना
pranabamukharji	प्रणबमुखर्जी
khrev	ख्रेव
marphin	मारफीन
buzarensku	बुजारेंस्कु
chaltua	चलतुआ
rejois	रेजोइस
agnizka	अग्निज्का
silbatta	सिलबट्टा
dimha	डिम्हा
cray	क्रय
nirwaachanon	निर्वाचनों
purvisarkha	पूर्वीसारखा
chauvalis	चौवालिस
drivelines	ड्राइवलाइन्स
yoshide	योशिदे
aavdhaarnaa	आवधारणा
volters	वोल्टर्स
antarrashtriyavad	अन्तर्राष्ट्रीयवाद
balita	बलिता
rajannavar	राजन्नवर
ajaydutt	अजयदत्त
kusk	कुस्क
indl	आईएनडीएल
sphotkanche	स्फोटकांचे
phosphorous	फॉस्फोरस
alanahalli	अलानहल्ली
delarum	डेलारम
sarwas	सरवास
purnashree	पूर्णाश्री
constant	कांस्टेंट
tahiti	ताहिटी
bepur	बेपूर
prasvedan	प्रस्वेदन
paharemau	पहरेमऊ
samragi	सम्रागी
chaupaiyan	चौपाइयां
blackend	ब्लैकेंड
demerit	डेमेरिट
banog	बनोग
panshoda	पंशोड़ा
romanchbhari	रोमांचभरी
bhatbhateni	भाटभटेनी
apriwrtan	आपरिवर्तन
ghadiyal	घड़ियाल
saransk	सारांस्क
daaktaree	डाक्टरी
udhotan	उधोतन
ravayya	रवय्या
setumadhav	सेतुमाधव
punahvikreta	पुनःविक्रेता
bujhaavan	बुझावन
recreated	रिक्रिएटिड
yagram	यग्राम
shikshakaneta	शिक्षकनेता
jukhal	जुखल
mandalanusar	मंडलानुसार
monophosphate	मोनोफॉस्फेट
vasaram	वासाराम
talkadu	तलकाडू
eridawati	एरिदावति
bijamandal	बीजामण्डल
suramuni	सुरमुनि
kakilala	काकिलाला
dwitiyela	द्वितीयेला
sopane	सोपने
asamajh	असमझ
nauria	नौरिया
madhukosh	मधुकोश
ghunghare	घुंघरे
vattery	वैटरी
vkragriva	वक्रग्रीवा
jahaangeet	जहांगीत
pagwash	पगवाश
mazire	मज़ीरे
mhrl	एमएचआरएल
fairna	फैरना
nandgavchya	नंदगावच्या
batashewala	बताशेवाला
hastaakshareet	हस्ताक्षरीत
saindrin	सैन्द्रिन
bhajapamaya	भाजपमय
shubhravesh	शुभ्रवेश
kilovolts	किलोवाट
chotwala	चोटवाला
utkrishtakta	उत्कृष्टकता
kissiyan	किस्सियां
divangath	दिवंगत
dendrocronolo	डेनड्रोक्रोनोलो
nagarpalikant	नगरपालिकांत
andewala	अंडेवाला
nijta	निजता
prakaranvaar	प्रकरणवार
unyatha	उन्यथा
kamarebhovati	कमरेभोवती
vighapatinagar	विघापतिनगर
matdarsanghapeksha	मतदारसंघापेक्षा
bhilanchal	भीलांचल
samas	समास
vanvaigyaanik	वनवैज्ञानिक
karedhaa	करेड़ा
fetullah	फेतुल्लाह
nanein	ननें
lakhache	लाखाचे
queries	क्वेरी
kasm	कस्म
harty	हार्टी
karmali	कारमली
hoxha	होक्सा
vasanabhari	वासनाभरी
sankhene	संखेने
aashvastiyon	आश्वस्तियों
piparaati	पिपराती
portwar	पोर्टवर
zahil	ज़ाहिल
theluhe	ठेलुहे
kubha	कुभा
sumaharaon	समाहर्ताओं
shanmugaratnam	शनमुगरत्नम
harath	हरथ
zihadul	जिहादुल
hindusta	हिंदुस्ता
bigadani	बिगड़नी
purchiyaan	पुर्चियां
shirgavmadhye	शिरगावमध्ये
dubhiksh	दुभिक्ष
kochadhaman	कोचाधमन
shivangouda	शिवनगौड़ा
masuka	मसूका
parinpurnata	परिणपूर्णता
charadar	चारादार
sahada	सहाड़ा
jeza	जेज़ा
gennova	जेनोवा
laghutrang	लघुतरंग
solapurpremy	सोलापूरप्रेमी
naheend	नहींद
junket	जंकट
jhulan	झुलन
aveera	अवीरा
dashalaksh	दशलक्ष
jhaade	झाड़े
porkhariyal	पोरखरियाल
playsat	प्लेसैट
dwitiyansh	द्वितीयांश
atalmay	अटलमय
lessian	लेसियन
sarvaanumati	सर्वानुमति
supernovae	सुपरनोवाओं
hafootball	हैफ़ुटबॉल
tlvision	टेलेविजन
pashupalan	पशुपालन
vakilpatre	वकीलपत्रे
jhabadi	झबड़ी
satayu	सतायु
swatantrawaadi	स्वतंत्रवादी
taltola	तालटोला
anustarana	अनुस्तरण
obaz	ओबाज़
kigsley	किग्सली
anudankartaon	अनुदानकर्ताओं
dowersified	डावर्सिफाइड
jummaram	जुम्माराम
acrobate	अक्रोबेट
bajarsudharenge	बाजारसुधरेंगे
chikkara	चिक्करा
faisu	फैसु
nishpallavan	निष्पल्लवन
shakambhar	शाकम्भर
photoingland	फोटोइंग्लैंड
veeragam	वीरागम
kamaninuma	कमानीनुमा
gango	गांगो
dahashatikhali	दहशतीखाली
madnapur	मदनापुर
diapole	डाइपोल
kunashiri	कुनाशिरी
pitstop	पिटस्टॉप
gajmal	गजमल
bootaa	बूटा
verter	वर्टर
pardawala	परदावाला
artansangharsh	अर्तंसंघर्ष
najarbandi	नजरबन्दी
khadimulhuzzaj	खादिमुलहुज्जाज
chaturthavargiya	चतुर्थवर्गीय
gangamahal	गंगामहल
pitrishwaron	पितृश्वरों
riche	रिचे
sanyaasiyon	संन्यासियों
sopavita	सोपविता
kurfuti	कुरफुती
shreeyut	श्रीयुत
tomso	टॉमसो
katipalla	कतिपल्ला
atripton	अतृप्तों
andolnamadhil	आंदोलनामधील
spacewar	स्पेसवार
tonsils	टॉन्सिल
automatically	ऑटोमैटिकली
andromeda	एंड्रोमेडा
alsayi	अलसायी
mohapatar	मोहपातर
chiangchhari	चिआंगछारी
chiktisiya	चिक्तिसीय
mycillium	मायसिलियम
aadhivakta	आधिवक्ता
dopahak	दोपहक
lalsih	लालसिह
khoriropa	खोरीरोपा
kirlokar	किर्लोकर
sonkara	सोनकरा
tadanubhooti	तदनुभूति
dikhaaen	दिखाएं
rasleela	रसलीला
beejmantron	बीजमंत्रों
basunia	बसुनिया
mutafaailun	मुतफ़ाइलुन
mahabodhi	महाबोधी
polytope	पॉलीटोप
idfc	आइडीएफसी
udghatnala	उद्घाटनाला
maxfresh	मैक्सफ्रेश
abhijitaki	अभिजीतकी
barracuda	बैराकुडा
vanchanaly	वाचनालय
bedwas	बेडवास
bonomese	बोनोमीज
sakatate	सकतते
headig	हेडिग
shaja	शाजा
reportmala	रिपोर्टमाला
funland	फनलैंड
ubolratna	उबोलरत्ना
vratavidhi	व्रतविधि
sangalwada	सांगलवाड़ा
hangwani	हांगवानी
swatminathan	स्वातमीनाथन
narur	नरूर
incision	इनसिजन
chaurangi	चौरंगी
rotunda	रोटुन्डा
smithan	स्मिथन
purushroop	पुरुषरूप
padding	पैडन
gachhiye	गछिये
sahaytasevaen	सहायतासेवाएं
swayattshaasi	स्वायत्तशासी
mungal	मुंगल
shamshru	श्मश्रु
jagadguru	जगद्गुरू
dhakaney	ढकने
rajaysabhaiyon	राजयसभाइयों
mathali	मथली
satyagaav	सत्यगाव
itishree	इतिश्री
bhaguwabasa	भगुवाबासा
herafer	हेराफेर
avmoolyan	अवमूल्यन
awaaze	आवाजे
alarampur	अलारामपुर
asware	अस्वरे
airia	एआईआरआईए
omhu	ओमहू
gairavaanvit	गैरवान्वित
yachikaron	याचिकारों
talwarke	तलवारके
noorshah	नूरशाह
bhashyaka	भाष्यका
prashaanisak	प्रशानिसक
pakadalyachi	पकडल्याची
vadakkancheri	वडक्कनचेरी
lalrutthara	लालरूत्थारा
punchlines	पंचलाइनों
keyking	कीकिंग
panijan	पानीजन
shambhuji	शंभाजी
dhaniyawad	धनियावाद
manoranjangrihon	मनोरंजनगृहों
gadaraate	गदराते
dumpling	डंप्लिंग
bhaumavigyaan	भौमविज्ञान
chuppir	चुप्पीर
shaharadhyakshachya	शहराध्यक्षाच्या
baitaalon	बैतालों
rusli	रुसली
tikaayen	टिकाएँ
kwayan	क्वायन
juridictional	ज्युरिडिक्शनल
ajamil	अजामिल
jaguruk	जगुरुक
manuvidhaan	मनुविधान
bigsna	बिग्सना
pukud	पुकुद
armidale	एरिमिडाले
falwada	फलवाड़ा
anuveshan	अनुवेषण
nexim	नेक्सिम
ashrupurvak	अश्रुपूर्वक
maritime	मेरिटाइम
laagtak	लागतक
abdala	अब्दाला
nagarnar	नगगरनार
maligaon	मालीगांव
kshagrist	क्षग्रिस्त
detoxifying	डिटॉक्सीफाइंग
pyrine	पाइरिन
lattice	लैटिस
hukmdev	हुकुमदेव
gothyavaroon	गोठ्यावरून
quadrant	क्वाडरेंट
sokoto	सिकोटौ
riwaldi	रिवाल्डी
jhonkiye	झोंकिये
bodhaavagati	बोधावगति
lipline	लिपलाइन
pratidarshak	प्रतिदर्शक
prakartik	प्राकार्तिक
pavatyandware	पावत्यांद्वारे
iseo	आईएसईओ
punoradham	पुनोराधाम
basudiha	बासूडीहा
ferdino	फर्डिनो
practicalism	प्रैक्टिकलिज्म
retiredheart	रिटायर्डहर्ट
kannod	कन्नौद
jhumraj	झुमराज
bhadrog	भदरोग
roelant	रोलेन्ट
geriatric	गेरियेट्रिक
oenanthe	ओनेन्थे
sweekaae	स्वीकाए
amapara	आमापारा
laurent	लोरेंत
brichgunj	ब्रिचगंज
apvaahe	अपवाहे
prasannakar	प्रसन्नकर
takrel	तकरेल
sislian	सिसलियन
baantkar	बांटकर
snapdragon	स्नैप्ड्रैगन
colasuonno	कोलासुओन्नो
rebecca	रिबैका
sethjiwala	सेठजीवाला
nishkaal	निष्काल
khitabhi	खिताभी
bhaumavati	भौमवती
shartendu	शरतेंदु
acholi	ऐचोलि
trunsder	ठ्रन्स्ङेर्
karaudia	करौदिया
dikhao	दिखाओ
davaaye	दवाये
navaratangarh	नवरतनगढ़
metajua	मेटाजुआ
atiwara	अतिवारा
sanghmitra	संघमित्रा
kumtia	कुमटिया
shivadasan	शिवदासन
padom	पदोम
fpm	एफपीएम
kanthasth	कण्ठस्थ
nemli	नेमली
nildhara	नीलधारा
katneshwarkar	कटनेशवरकर
gudeshwari	गुडेश्वरी
silehgarh	सिलेहगढ़
samela	सामेला
gaharaayi	गहराई
bahirvedhi	बहिर्वेधी
paddlers	पैडलर्स
bharavegaane	भरवेगाने
patpataataa	पटपटाता
vidyarthyanchya	विद्यार्थ्यांच्या
rozin	रोज़िन
renuga	रेनुगा
inclaub	इनक्लाब
boradella	बोराडेला
uzgul	उज़गुल
laharaateen	लहरातीं
nazma	नज़मा
dfh	डीएफएच
bitaayenge	बितायेंगे
tarankheda	तारनखेड़ा
corparation	कारपेरेशन
chamake	छमके
durbasha	दुर्बाशा
drishkar	दृष्कर
dhameta	धमेटा
swabhaviktaur	स्वाभाविकतौर
faneuil	फेनेउल
gelania	जिलेनिया
bodypent	बॉडीपेंट
dujabhavacha	दुजाभावाचा
manjhariyaan	मंझरियां
gopinder	गोपिंदर
khedlikhurd	खेड़लीखुर्द
kotyavadhincha	कोट्यावधींचा
orthopidic	ऑर्थोपिडिक
amarinderji	अमरिंदरजी
kundaura	कुन्दौरा
preating	प्रीटिंग
espanola	एस्पानोला
luganville	लुगानविले
apnaati	अपनाती
netflixi	नेटफ्लिक्सि
kanganpur	कंगनपुर
heartline	हर्टलाइन
rukaate	रुकाते
wikimedians	विकिमीडियन्स
celluloid	सेल्यूलॉयड
bakripalan	बकरीपालन
webbased	वेबबेस्ड
aposynum	एपोसाइनम
zuhair	जुहैर
tratech	ट्राटेक
trapero	ट्रापेरो
rashtridaya	राष्ट्रीदय
dalpatsih	दलपतसिह
abhigraahak	अभिग्राहक
miyawali	मियावाली
kirdaaron	किरदारों
launji	लौंजी
gaayik	गायिक
aagesamarpan	आगेसमर्पण
koriani	कोरियानी
baankpan	बाँकपन
surki	सुरकी
gharbasalyahi	घरबसल्याही
jugrawar	जुगरावर
empowerment	इमपॉवरमेंट
shanshnaishcharai	शंशनैश्चराय
tajushariya	ताजुशारिया
galacy	गैलेसी
niwedaka	निवेदक
dhirmohan	धीरमोहन
shankarpaal	शंकरपाल
drobarov	द्रोबारोव
anandsingh	आनंदसिंह
lakhauri	लखौरी
pandrawade	पंद्रवाड़े
rekhankadun	रेखांकडून
maamlaaton	मामलातों
alaykum	अलायकुम
nimnavargeeya	निम्नवर्गीय
walson	वालसन
yathaarup	यथारूप
vadilala	वडिलाला
kondichya	कोंडीच्या
saiyaan	सैयाँ
dadabhoy	दादाभाई
laagit	लागित
lagavaane	लगवाने
ladahaai	लड़हाई
uccrtf	यूसीसीआरटीएफ
durvakur	दूर्वाकुर
arrist	अरिस्ट
rideology	राइडोलॉजी
mehfuzurahman	मेहफुजुरहमान
moopanar	मूपनार
valrampur	वलरामपुर
jammo	जम्मो
holbrook	हॉलब्रुक
bhatiyat	भटियाली
kanakpal	कनकपाल
crapping	क्रैपिंग
uas	यूएएस
boffice	बॉफिस
lakhaha	लखहा
igrams	आईजीआरएएमएस
micromax	माइक्रोमैक्स
gurbakhshganj	गुरबख्शगंज
lekhaakaar	लेखाकार
bhajaniyata	भजनीयता
ayuktankadehi	आयुक्तांकडेही
chauntaron	चौंतरों
nouvein	नौवें
kalingapatti	कलिंगपट्टी
vaniyambadi	वनियाम्बडी
phoolbati	फूलबती
paryavaranpreminchya	पर्यावरणप्रेमींच्या
profex	प्रोफेक्स
pabna	पब्ना
jhandiuttaranchal	झंडीउत्तरांचल
maidha	मैधा
khaldal	खलदल
parajito	पराजितो
fishers	फ़िशर्स
vaadiye	वादिए
aashateet	आशातीत
aavishkartta	आविष्कर्त्ता
yakaran	याकरण
polosi	पोलोसी
sanskaramayi	संस्कारमयी
mantrishree	मंत्रीश्री
berlton	बर्लटन
durvikas	दुर्विकास
tempery	टेंपरी
shubharambhanimitta	शुभारंभानिमित्त
dharmvishesh	धर्मविशेष
pashasan	पशासन
crass	क्रास
mafeeld	मफील्ड
akham	अखम
kshmon	क्षमों
schnell	श्नेल
nitware	निटवेयर
ityahurdharmo	इत्याहुर्धर्मो
sentikumar	सेंतिकुमार
usbek	उज़बेकी
jasour	जसौर
detective	डिटैक्टिव
sumitradevi	सुमित्रादेवी
khedbrahma	खेड़ब्रह्मा
kumahaarin	कुम्हारिन
dayendranath	डयेन्द्रनथ
corpeting	कार्पेटिंग
kumaridibya	कुमारीदिब्या
hyperide	हाइपराइड
womb	वॉम्ब
fastaksara	फास्टकसारा
iccm	आईसीसीएम
fadlullah	फदलुल्लाह
flexibilitymen	फ्लेक्सिबिलिटीमें
masaafiron	मसाफिरों
mulakgaon	मुलकगांव
chorbari	चोरबारी
dhahaldhar	धाहलधार
lajarate	लजरते
dhvanyaatmak	ध्वन्यात्मक
dharatra	धरात्र
hskisan	हसकिसन
tantrachudamani	तंत्रचूडामणि
shotputter	शॉटपटर
ikafe	इकाफे
grihmukh	गृहमुख
gulkhedi	गुलखेड़ी
shantz	शांत्ज़
titleholder	टाइटलहोल्डर
grihyuddh	गृहयुद्ध
chandannath	चन्दननाथ
glodiolus	ग्लोडिओलस
neoplatonism	नियोप्लेटोनिज्म
nondvit	नोंदवित
ponnath	पोन्नाथ
sonilive	सोनीलाइव
hanagal	हंगल
parbina	परबीना
charanewalo	चरानेवालो
mahabindu	महाबिंदु
uniot	यूनियट
chauvin	चाउविन
baburaj	बाबूराज
qutbuddin	क़ुत्बुद्दीन
shambhuwala	शंभुवाला
shelomith	शलोमीत
parankan	परांकन
parghadi	परघड़ी
sridhara	श्रीधराचार्य
nayachakr	नयचक्र
hundru	हुन्डरु
dwarghat	द्वारघाट
aatmonnati	आत्मोन्नति
delacious	डेलेशियस
styling	स्टायलिंग
anaart	अनार्त
autnomic	ऑटनॉमिक
prasaarvaadi	प्रसारवादी
nurain	नुरैन
schafer	शॉफर
abram	इब्राहिम
beblawi	बेबलावी
kalaikund	कलाईकुंड
acharpakkum	अचारपक्कुम
jiyabhareli	जियाभरेली
nonihalon	नोनिहालों
sahaaytaaye	सहायताये
sebastians	सेबेस्टियन्स
ferrigno	फेरिग्नो
hankate	हंकते
gunjanak	गुंजनक
bainwadi	बैनवाड़ी
protestat	प्रोटेस्टैट
anokhelal	अनोखेलाल
twitch	ट्विच
judicata	जुडिकाटा
chakiyaan	चकियां
rolospa	रोलोसपा
dergarbedian	डेरगार्बेडियन
punnawal	पुन्नावाल
robling	रोब्लिंग
ultrine	अल्ट्राइन
swatwatyag	स्वत्वत्याग
kyunetra	क्यूनेत्रा
vogeti	वोगेटी
govertoli	गोवरटोली
pradhaarmik	प्रधार्मिक
satpurusho	सत्पुरुषो
shaikshnik	शैक्ष्णिक
yaeko	याएको
penadu	पेनाडू
samikshadhin	समीक्षाधीन
dikhaati	दिखाती
kashyapasamaj	कश्यपसमाज
anukampaaon	अनुकंपाओं
pratigyi	प्रतिज्ञी
muthapada	मुथापड़ा
dabholkaranchi	दाभोलकरांची
meenthi	मींठी
pachwale	पचवले
volunteers	वालंटीयर्स
diosamine	डायोसमिन
kuan	कूआं
susamaj	सुसमाज
parakhacchon	परखच्चों
nandin	नन्दीन
trearvioler	ट्रीयरवायलर
latalati	लाटालाटी
kheese	खीसे
brahmakand	ब्रह्मकांड
hepton	हेप्टन
gaanvaanchi	गांवांची
taapkramon	तापक्रमों
darjin	दर्जिन
fibrillin	फिब्रिलिन
iraf	इराफ
chhitapur	छीतापुर
magarwara	मगरवारा
thangpattach	थांगपत्ताच
subuya	सुबुया
komatollu	कोमाटोल्लु
breade	ब्रेडे
uniaxel	यूनीएक्सेल
disambaratak	दिसम्बरतक
patidari	पटीदारी
punt	पाउंड
namvantanchi	नामवंतांची
headlamp	हेडलैंप
yugasapeksha	युगसापेक्ष
toshimitsu	तोशिमित्शु
temlept	टेम्लेप्ट
shoka	शौक
huvallaho	हुवल्लाहो
manang	मनंग
lunchbox	लंचबाक्स
majeh	माजेह
distes	डिस्टेस
jamdeshpur	जमदेशपुर
putur	पुतुर
chisek	चीसेक
moderna	मॉडर्नने
pochalya	पोचल्या
hestelloy	हेस्टेलॉय
gyaansetu	ज्ञानसेतु
grom	ग्रोम
matanche	मातांचे
upazila	ऊपज़िला
jhapakaaen	झपकाएं
kathaaein	कथाएँ
vebprishthon	वेबपृष्ठों
dhundhru	धुंधरू
navalji	नवलजी
ambardar	अम्बरदार
aarogyamantri	आरोग्यमंत्री
scabies	स्केबीज़
matavale	मतवाले
rashidov	रशीदोव
bwoktya	ब्वोक्ट्या
namab	नामाब
mamiyan	ममियां
puratatvavid	पुरातत्वविद
sharangadeva	शारंगदेव
nambarpletwalyanchi	नंबरप्लेटवाल्यांची
toluene	टोल्यून
jumpstart	जम्पस्टार्ट
muraithi	मुरैठी
palikamatri	पालिकामत्री
samaajvighaatak	समाजविघातक
chuhi	चूही
dinsha	दिनशॉ
actinity	एक्टिनिटी
indrakeela	इंद्रकीला
bandhkamdharkankadun	बांधकामधारकांकडून
kharidari	खरिदारी
prasutipurvi	प्रसुतीपूर्वी
marketingmadhye	मार्केटिंगमध्ये
dilmano	दिलमानो
ahminder	अहमिंद्र
aparadhvriddhi	अपराधवृद्धि
shadgrahi	षडग्रही
hangamatoon	हंगामातून
punishment	पनीशमेंट
sangatith	संगतिथ
samanvayakaje	समन्वयकजे
enforcements	एनफोर्समेंट्स
kashaye	काषाय
sadhegi	साधेगी
shemaru	शेमारू
mideshak	मिदेशक
shahachoukha	शाहाचौखा
khwaajaasaraa	ख़्वाजासरा
haitaao	हैताओ
chromophore	क्रोमोफोर
jayadashmi	जयादशमी
nearline	नीयरलाइन
tupul	टुपुल
prolific	प्रोलीफिक
labuschange	लबुसचेंज
bound	बंधी
kendrabinduon	केंद्रबिंदुओं
tathyata	तथ्यता
daaudsar	दाऊदसर
sweetcorn	स्वीटकोर्न
jeli	जेली
bradslices	ब्रैडस्लाइसों
nirodhkar	निरोधकर
supekar	सुपेकर
coccd	सीओसीसीडी
vicharsvatantryachi	विचारस्वातंत्र्याची
janmamotsav	जन्ममोत्सव
dindugul	डिंडिगुल
abkhazia	अब्खाज़िया
sukhakaarak	सुखकारक
daribhange	दरिभंगे
nachwali	नाचवाली
akhilendu	अखिलेंदु
chetanaaen	चेतनाएं
amboi	अंबोई
openyin	ओपेनयिन
dhavalane	धवलने
